Modality;OMP;MPI;tree_creation_time;communication_time;rb_search_time;program_execution_time;speedup;efficiency
Sequential;0;0;3.11512750;0.00000000;0.00000125;3.11541175;4.47821512;111.9554
OMP+MPI;1;1;3.21107950;0.00559000;0.00003275;3.48787100;1.00000000;100.0000
OMP+MPI;1;2;3.75941725;0.00614325;0.00003100;4.04061600;0.86320279;43.1601
OMP+MPI;1;4;4.42140025;0.00783525;0.00030825;4.71903875;0.73910624;18.4777
OMP+MPI;1;8;5.71054850;0.01647450;0.00055025;6.10574575;0.57124406;7.1406
OMP+MPI;2;1;3.10704450;0.00556775;0.00037450;3.38274025;1.03107858;51.5539
OMP+MPI;2;2;3.79117825;0.00634950;0.00027750;4.07860675;0.85516237;21.3791
OMP+MPI;2;4;4.38913275;0.00752825;0.00037700;4.68424725;0.74459584;9.3074
OMP+MPI;2;8;5.76036300;0.03752975;0.00062700;6.16770600;0.56550539;3.5344
OMP+MPI;4;1;3.21272675;0.00569500;0.00060500;3.49041275;0.99927179;24.9818
OMP+MPI;4;2;3.77084550;0.00603600;0.00052800;4.05150450;0.86088291;10.7610
OMP+MPI;4;4;4.38784600;0.00774200;0.00043425;4.68584525;0.74434191;4.6521
OMP+MPI;4;8;5.70416725;0.01967450;0.00068000;6.10257550;0.57154082;1.7861
OMP+MPI;8;1;3.16341200;0.00550975;0.00108650;3.44132750;1.01352487;12.6691
OMP+MPI;8;2;3.82021925;0.00603100;0.00076700;4.09966200;0.85077038;5.3173
OMP+MPI;8;4;4.38434300;0.00804350;0.00074950;4.68208275;0.74494006;2.3279
OMP+MPI;8;8;5.74553025;0.03403100;0.00072275;6.15485000;0.56668660;0.8854
OMP+MPI;16;1;3.08470950;0.00548775;0.00140125;3.36276400;1.03720362;6.4825
OMP+MPI;16;2;3.73915525;0.00594725;0.00103000;4.01969000;0.86769651;2.7116
OMP+MPI;16;4;4.40336200;0.00785475;0.00089775;4.70622975;0.74111788;1.1580
OMP+MPI;16;8;5.81876600;0.01594750;0.00091200;6.21004200;0.56165015;0.4388
