Modality;OMP;MPI;tree_creation_time;communication_time;rb_search_time;program_execution_time;speedup;efficiency
Sequential;0;0;0.00134400;0.00000000;0.00000025;0.00155875;3.62790698;90.6977
OMP+MPI;1;1;0.00117900;0.00002775;0.00001825;0.00141375;1.00000000;100.0000
OMP+MPI;1;2;0.00130575;0.00025725;0.00007550;0.00178850;0.79046687;39.5233
OMP+MPI;1;4;0.00137375;0.00073850;0.00018300;0.00235200;0.60108418;15.0271
OMP+MPI;1;8;0.00162425;0.00153600;0.00029325;0.00339175;0.41682023;5.2103
OMP+MPI;2;1;0.00118450;0.00002950;0.00014150;0.00154925;0.91253832;45.6269
OMP+MPI;2;2;0.00129975;0.00027650;0.00026450;0.00200175;0.70625703;17.6564
OMP+MPI;2;4;0.00136225;0.00068250;0.00028800;0.00236425;0.59796976;7.4746
OMP+MPI;2;8;0.00156150;0.00155600;0.00040200;0.00345325;0.40939694;2.5587
OMP+MPI;4;1;0.00121950;0.00003025;0.00040400;0.00185550;0.76192401;19.0481
OMP+MPI;4;2;0.00129125;0.00028550;0.00038125;0.00208950;0.67659727;8.4575
OMP+MPI;4;4;0.00134775;0.00074950;0.00038275;0.00250225;0.56499151;3.5312
OMP+MPI;4;8;0.00176000;0.00171375;0.00051675;0.00394350;0.35850133;1.1203
OMP+MPI;8;1;0.00117275;0.00002800;0.00051300;0.00191725;0.73738427;9.2173
OMP+MPI;8;2;0.00135550;0.00036650;0.00070950;0.00252850;0.55912596;3.4945
OMP+MPI;8;4;0.00135925;0.00082350;0.00053600;0.00273100;0.51766752;1.6177
OMP+MPI;8;8;0.00147325;0.00209725;0.00075450;0.00419800;0.33676751;0.5262
OMP+MPI;16;1;0.00118875;0.00003000;0.00089500;0.00231175;0.61154969;3.8222
OMP+MPI;16;2;0.00132450;0.00025900;0.00102500;0.00277075;0.51024091;1.5945
OMP+MPI;16;4;0.00139375;0.00081750;0.00085350;0.00307775;0.45934530;0.7177
OMP+MPI;16;8;0.00142025;0.00198650;0.00103025;0.00437400;0.32321674;0.2525
