Modality;OMP;MPI;tree_creation_time;communication_time;rb_search_time;program_execution_time;speedup;efficiency
Sequential;0;0;3.22721625;0.00000000;0.00000150;3.22752775;4.11305836;102.8265
OMP+MPI;1;1;3.14208350;0.00547525;0.00003150;3.31875250;1.00000000;100.0000
OMP+MPI;1;2;3.73104975;0.01086850;0.00002475;3.92118100;0.84636555;42.3183
OMP+MPI;1;4;4.39708350;0.00772900;0.00026400;4.60621325;0.72049476;18.0124
OMP+MPI;1;8;5.69612650;0.01045200;0.00046525;5.98961300;0.55408463;6.9261
OMP+MPI;2;1;3.11407500;0.00555775;0.00041975;3.29304550;1.00780645;50.3903
OMP+MPI;2;2;3.76858750;0.00624525;0.00029250;3.95406400;0.83932696;20.9832
OMP+MPI;2;4;4.42371150;0.00780250;0.00049825;4.63612050;0.71584690;8.9481
OMP+MPI;2;8;5.76424375;0.01421225;0.00053775;6.04994725;0.54855892;3.4285
OMP+MPI;4;1;3.12786175;0.00554475;0.00068300;3.30361550;1.00458195;25.1145
OMP+MPI;4;2;3.77302575;0.00599725;0.00039250;3.95692075;0.83872099;10.4840
OMP+MPI;4;4;4.41702850;0.00783100;0.00051225;4.62588750;0.71743044;4.4839
OMP+MPI;4;8;5.69643325;0.01040650;0.00066375;5.98798675;0.55423511;1.7320
OMP+MPI;8;1;3.10627450;0.00550600;0.00103200;3.28217750;1.01114352;12.6393
OMP+MPI;8;2;3.80234325;0.00596150;0.00068875;3.98627000;0.83254584;5.2034
OMP+MPI;8;4;4.43276050;0.00783725;0.00070200;4.64230425;0.71489336;2.2340
OMP+MPI;8;8;5.69992650;0.01061725;0.00066925;5.98488775;0.55452210;0.8664
OMP+MPI;16;1;3.08828975;0.00556900;0.00158150;3.26640075;1.01602735;6.3502
OMP+MPI;16;2;3.76454125;0.00612275;0.00110175;3.95204200;0.83975638;2.6242
OMP+MPI;16;4;4.41247875;0.00787200;0.00089400;4.62179800;0.71806524;1.1220
OMP+MPI;16;8;5.72952000;0.01467575;0.00089100;6.03284150;0.55011432;0.4298
