Modality;OMP;MPI;tree_creation_time;communication_time;rb_search_time;program_execution_time;speedup;efficiency
Sequential;0;0;0.00102400;0.00000000;0.00000025;0.00122875;3.77538149;94.3845
OMP+MPI;1;1;0.00094775;0.00002825;0.00001775;0.00115975;1.00000000;100.0000
OMP+MPI;1;2;0.00106625;0.00026950;0.00008175;0.00154150;0.75235161;37.6176
OMP+MPI;1;4;0.00110850;0.00076825;0.00022025;0.00209775;0.55285425;13.8214
OMP+MPI;1;8;0.00126650;0.00141575;0.00030250;0.00289200;0.40102006;5.0128
OMP+MPI;2;1;0.00097825;0.00003275;0.00013875;0.00132675;0.87412851;43.7064
OMP+MPI;2;2;0.00103150;0.00031500;0.00027050;0.00172325;0.67300160;16.8250
OMP+MPI;2;4;0.00111075;0.00072700;0.00029375;0.00213150;0.54410040;6.8013
OMP+MPI;2;8;0.00137825;0.00151300;0.00041550;0.00319275;0.36324485;2.2703
OMP+MPI;4;1;0.00100425;0.00003050;0.00041300;0.00162550;0.71347278;17.8368
OMP+MPI;4;2;0.00105100;0.00033075;0.00036950;0.00183725;0.63124235;7.8905
OMP+MPI;4;4;0.00108675;0.00072275;0.00038850;0.00220375;0.52626205;3.2891
OMP+MPI;4;8;0.00136175;0.00167375;0.00050000;0.00343525;0.33760279;1.0550
OMP+MPI;8;1;0.00096800;0.00003000;0.00046975;0.00164350;0.70565866;8.8207
OMP+MPI;8;2;0.00108875;0.00031200;0.00053900;0.00204150;0.56808719;3.5505
OMP+MPI;8;4;0.00110325;0.00085125;0.00057050;0.00250000;0.46390000;1.4497
OMP+MPI;8;8;0.00114600;0.00177550;0.00068850;0.00350225;0.33114426;0.5174
OMP+MPI;16;1;0.00099150;0.00003150;0.00078550;0.00198650;0.58381576;3.6488
OMP+MPI;16;2;0.00109100;0.00039600;0.00097250;0.00248000;0.46764113;1.4614
OMP+MPI;16;4;0.00109875;0.00076875;0.00087800;0.00275400;0.42111474;0.6580
OMP+MPI;16;8;0.00115550;0.00194375;0.00102600;0.00401175;0.28908830;0.2259
