Modality;OMP;MPI;tree_creation_time;communication_time;rb_search_time;program_execution_time;speedup;efficiency
Sequential;0;0;0.05834125;0.00000000;0.00000025;0.05863850;4.33131816;108.2830
OMP+MPI;1;1;0.05619750;0.00037775;0.00003025;0.06349550;1.00000000;100.0000
OMP+MPI;1;2;0.06023500;0.00140075;0.00002850;0.07011375;0.90560696;45.2803
OMP+MPI;1;4;0.08382750;0.00489575;0.00033950;0.10017300;0.63385842;15.8465
OMP+MPI;1;8;0.12272100;0.01147975;0.00029250;0.14706475;0.43175200;5.3969
OMP+MPI;2;1;0.05301000;0.00038425;0.00036600;0.05978750;1.06201965;53.1010
OMP+MPI;2;2;0.06017675;0.00226325;0.00033850;0.07019850;0.90451363;22.6128
OMP+MPI;2;4;0.08198500;0.00366075;0.00045475;0.09688325;0.65538161;8.1923
OMP+MPI;2;8;0.12286600;0.00963900;0.00044550;0.14646325;0.43352513;2.7095
OMP+MPI;4;1;0.05088000;0.00037700;0.00043775;0.05717750;1.11049801;27.7625
OMP+MPI;4;2;0.05752725;0.00157300;0.00050225;0.06734575;0.94282861;11.7854
OMP+MPI;4;4;0.07700975;0.00365625;0.00057175;0.09228625;0.68802774;4.3002
OMP+MPI;4;8;0.10935525;0.01469225;0.00041650;0.13846325;0.45857294;1.4330
OMP+MPI;8;1;0.05303125;0.00039775;0.00082175;0.06071600;1.04577871;13.0722
OMP+MPI;8;2;0.06279475;0.00151575;0.00079950;0.07456500;0.85154563;5.3222
OMP+MPI;8;4;0.08386525;0.00349275;0.00068200;0.10054225;0.63153053;1.9735
OMP+MPI;8;8;0.11292950;0.01457900;0.00057800;0.14326325;0.44320857;0.6925
OMP+MPI;16;1;0.05459975;0.00039975;0.00129200;0.06180700;1.02731891;6.4207
OMP+MPI;16;2;0.05704375;0.00134500;0.00107725;0.06695975;0.94826370;2.9633
OMP+MPI;16;4;0.07577300;0.00403025;0.00097300;0.09178625;0.69177573;1.0809
OMP+MPI;16;8;0.11676975;0.01093050;0.00099375;0.14475700;0.43863509;0.3427
