Modality;OMP;MPI;tree_creation_time;communication_time;rb_search_time;program_execution_time;speedup;efficiency
Sequential;0;0;3.17088250;0.00000000;0.00000150;3.17121000;4.52150851;113.0377
OMP+MPI;1;1;3.22556600;0.00570950;0.00003175;3.58466325;1.00000000;100.0000
OMP+MPI;1;2;3.88785100;0.00612400;0.00002900;4.24964675;0.84352029;42.1760
OMP+MPI;1;4;4.48857650;0.00804750;0.00052150;4.86228025;0.73723913;18.4310
OMP+MPI;1;8;5.80431300;0.02562775;0.00054400;6.27716300;0.57106423;7.1383
OMP+MPI;2;1;3.18782425;0.00547625;0.00048625;3.54828650;1.01025192;50.5126
OMP+MPI;2;2;3.80677775;0.00610150;0.00025850;4.16827925;0.85998635;21.4997
OMP+MPI;2;4;4.47445525;0.00800275;0.00049875;4.84893200;0.73926862;9.2409
OMP+MPI;2;8;5.78295075;0.02310050;0.00065550;6.25101000;0.57345345;3.5841
OMP+MPI;4;1;3.29708875;0.00546500;0.00041950;3.65676525;0.98028257;24.5071
OMP+MPI;4;2;3.82359050;0.00605725;0.00049600;4.18570675;0.85640573;10.7051
OMP+MPI;4;4;4.48723825;0.00834950;0.00055100;4.86152875;0.73735309;4.6085
OMP+MPI;4;8;5.81155725;0.01075350;0.00052925;6.27082300;0.57164159;1.7864
OMP+MPI;8;1;3.20715850;0.00547025;0.00103675;3.56767250;1.00476242;12.5595
OMP+MPI;8;2;3.87864450;0.00616600;0.00078000;4.24053700;0.84533238;5.2833
OMP+MPI;8;4;4.50817575;0.00792900;0.00062875;4.88512400;0.73379166;2.2931
OMP+MPI;8;8;5.77440200;0.02427750;0.00076950;6.24990375;0.57355495;0.8962
OMP+MPI;16;1;3.24801375;0.00541975;0.00169375;3.60967625;0.99307057;6.2067
OMP+MPI;16;2;3.82897050;0.00625300;0.00125900;4.19196725;0.85512673;2.6723
OMP+MPI;16;4;4.46671500;0.00773575;0.00092650;4.84132175;0.74043070;1.1569
OMP+MPI;16;8;5.77258700;0.01868575;0.00094975;6.24210900;0.57427117;0.4486
