Modality;OMP;MPI;tree_creation_time;communication_time;rb_search_time;program_execution_time;speedup;efficiency
Sequential;0;0;0.07312475;0.00000000;0.00000000;0.07344275;4.73495342;118.3738
OMP+MPI;1;1;0.07482425;0.00038450;0.00003000;0.08693700;1.00000000;100.0000
OMP+MPI;1;2;0.07643050;0.00153500;0.00003775;0.09080275;0.95742695;47.8713
OMP+MPI;1;4;0.09596775;0.00328075;0.00030225;0.11651175;0.74616509;18.6541
OMP+MPI;1;8;0.14200175;0.00270125;0.00028200;0.17412000;0.49929359;6.2412
OMP+MPI;2;1;0.07014375;0.00038875;0.00032800;0.08238175;1.05529441;52.7647
OMP+MPI;2;2;0.08110650;0.00126250;0.00037325;0.09556400;0.90972542;22.7431
OMP+MPI;2;4;0.09663225;0.00558775;0.00045150;0.12088250;0.71918599;8.9898
OMP+MPI;2;8;0.13998450;0.00667325;0.00044850;0.16993600;0.51158671;3.1974
OMP+MPI;4;1;0.06628025;0.00036150;0.00048450;0.07546750;1.15197933;28.7995
OMP+MPI;4;2;0.07167175;0.00133150;0.00052325;0.08667300;1.00304593;12.5381
OMP+MPI;4;4;0.09367150;0.00280450;0.00058575;0.11536525;0.75358048;4.7099
OMP+MPI;4;8;0.12861550;0.01257575;0.00044150;0.16610225;0.52339448;1.6356
OMP+MPI;8;1;0.06796675;0.00037950;0.00053950;0.07682150;1.13167538;14.1459
OMP+MPI;8;2;0.07250075;0.00112900;0.00077700;0.08609050;1.00983268;6.3115
OMP+MPI;8;4;0.09002500;0.00357050;0.00082425;0.11196275;0.77648146;2.4265
OMP+MPI;8;8;0.12759725;0.01284300;0.00065200;0.16497425;0.52697315;0.8234
OMP+MPI;16;1;0.06748375;0.00036625;0.00125250;0.07697625;1.12940030;7.0588
OMP+MPI;16;2;0.07462175;0.00124850;0.00126875;0.09085150;0.95691320;2.9904
OMP+MPI;16;4;0.09085575;0.00231350;0.00120225;0.11381275;0.76385994;1.1935
OMP+MPI;16;8;0.13747675;0.00651950;0.00089175;0.17096650;0.50850313;0.3973
