Modality;OMP;MPI;tree_creation_time;communication_time;rb_search_time;program_execution_time;speedup;efficiency
Sequential;0;0;0.00152550;0.00000000;0.00000025;0.00174825;4.44330044;111.0825
OMP+MPI;1;1;0.00144225;0.00012375;0.00009350;0.00194200;1.00000000;100.0000
OMP+MPI;1;2;0.00155150;0.00029600;0.00007675;0.00210575;0.92223673;46.1118
OMP+MPI;1;4;0.00162100;0.00059975;0.00017575;0.00251975;0.77071138;19.2678
OMP+MPI;1;8;0.00187200;0.00159800;0.00030725;0.00377250;0.51477800;6.4347
OMP+MPI;2;1;0.00144275;0.00002950;0.00013950;0.00183725;1.05701456;52.8507
OMP+MPI;2;2;0.00166225;0.00028900;0.00027225;0.00243500;0.79753593;19.9384
OMP+MPI;2;4;0.00166100;0.00073175;0.00027950;0.00276075;0.70343204;8.7929
OMP+MPI;2;8;0.00161600;0.00187200;0.00039825;0.00385125;0.50425187;3.1516
OMP+MPI;4;1;0.00141625;0.00003150;0.00033350;0.00200125;0.97039350;24.2598
OMP+MPI;4;2;0.00154600;0.00036150;0.00040075;0.00242375;0.80123775;10.0155
OMP+MPI;4;4;0.00174625;0.00071025;0.00035725;0.00288425;0.67331195;4.2082
OMP+MPI;4;8;0.00192275;0.00159825;0.00048500;0.00396450;0.48984740;1.5308
OMP+MPI;8;1;0.00141750;0.00002950;0.00062150;0.00228975;0.84812752;10.6016
OMP+MPI;8;2;0.00153800;0.00029625;0.00071925;0.00269600;0.72032641;4.5020
OMP+MPI;8;4;0.00162650;0.00069325;0.00053325;0.00295275;0.65769198;2.0553
OMP+MPI;8;8;0.00176675;0.00176225;0.00064600;0.00421075;0.46120050;0.7206
OMP+MPI;16;1;0.00152950;0.00003025;0.00082475;0.00262400;0.74009146;4.6256
OMP+MPI;16;2;0.00157275;0.00034400;0.00100575;0.00307875;0.63077548;1.9712
OMP+MPI;16;4;0.00164925;0.00082200;0.00092075;0.00344475;0.56375644;0.8809
OMP+MPI;16;8;0.00191725;0.00188750;0.00097275;0.00472475;0.41102704;0.3211
