Modality;OMP;MPI;tree_creation_time;communication_time;rb_search_time;program_execution_time;speedup;efficiency
Sequential;0;0;0.00127075;0.00000000;0.00000025;0.00148650;3.80894719;95.2237
OMP+MPI;1;1;0.00117900;0.00003175;0.00001925;0.00141550;1.00000000;100.0000
OMP+MPI;1;2;0.00123500;0.00027500;0.00007125;0.00171825;0.82380329;41.1902
OMP+MPI;1;4;0.00128800;0.00068825;0.00020625;0.00219325;0.64538926;16.1347
OMP+MPI;1;8;0.00152725;0.00142925;0.00029325;0.00316500;0.44723539;5.5904
OMP+MPI;2;1;0.00112150;0.00002975;0.00014050;0.00146300;0.96753247;48.3766
OMP+MPI;2;2;0.00122450;0.00029600;0.00026450;0.00190400;0.74343487;18.5859
OMP+MPI;2;4;0.00130750;0.00068725;0.00029025;0.00229675;0.61630565;7.7038
OMP+MPI;2;8;0.00143700;0.00157200;0.00038225;0.00329250;0.42991648;2.6870
OMP+MPI;4;1;0.00113500;0.00003075;0.00041100;0.00175375;0.80712758;20.1782
OMP+MPI;4;2;0.00125875;0.00031875;0.00031675;0.00201225;0.70344142;8.7930
OMP+MPI;4;4;0.00135725;0.00082100;0.00037700;0.00257125;0.55051045;3.4407
OMP+MPI;4;8;0.00140200;0.00181750;0.00048975;0.00361650;0.39140053;1.2231
OMP+MPI;8;1;0.00116600;0.00003000;0.00062250;0.00199725;0.70872450;8.8591
OMP+MPI;8;2;0.00124075;0.00027950;0.00060650;0.00224500;0.63051225;3.9407
OMP+MPI;8;4;0.00140150;0.00079850;0.00058150;0.00277150;0.51073426;1.5960
OMP+MPI;8;8;0.00141325;0.00172600;0.00068425;0.00369825;0.38274860;0.5980
OMP+MPI;16;1;0.00121150;0.00003275;0.00093600;0.00237550;0.59587455;3.7242
OMP+MPI;16;2;0.00127100;0.00028350;0.00098950;0.00270000;0.52425926;1.6383
OMP+MPI;16;4;0.00129575;0.00097125;0.00098675;0.00321700;0.44000622;0.6875
OMP+MPI;16;8;0.00146450;0.00185600;0.00099025;0.00423150;0.33451495;0.2613
