Modality;OMP;MPI;tree_creation_time;communication_time;rb_search_time;program_execution_time;speedup;efficiency
Sequential;0;0;0.06623425;0.00000000;0.00000025;0.06652825;4.09970201;102.4926
OMP+MPI;1;1;0.06059425;0.00038550;0.00003175;0.06818650;1.00000000;100.0000
OMP+MPI;1;2;0.06817525;0.00209575;0.00002750;0.07892350;0.86395687;43.1978
OMP+MPI;1;4;0.08560225;0.00496525;0.00036250;0.10146975;0.67198845;16.7997
OMP+MPI;1;8;0.12693475;0.00999175;0.00025325;0.15142675;0.45029362;5.6287
OMP+MPI;2;1;0.06082325;0.00038850;0.00027600;0.06742375;1.01131278;50.5656
OMP+MPI;2;2;0.06266450;0.00147675;0.00030875;0.07190800;0.94824637;23.7062
OMP+MPI;2;4;0.08069700;0.00289725;0.00036775;0.09776575;0.69744773;8.7181
OMP+MPI;2;8;0.12476775;0.01069125;0.00055125;0.15051275;0.45302807;2.8314
OMP+MPI;4;1;0.06294325;0.00036875;0.00057575;0.07048875;0.96733876;24.1835
OMP+MPI;4;2;0.06386100;0.00157775;0.00053100;0.07467800;0.91307346;11.4134
OMP+MPI;4;4;0.08565850;0.00272500;0.00071225;0.09927250;0.68686192;4.2929
OMP+MPI;4;8;0.12254300;0.00813575;0.00043075;0.14805575;0.46054611;1.4392
OMP+MPI;8;1;0.05922925;0.00039350;0.00082850;0.06638450;1.02714489;12.8393
OMP+MPI;8;2;0.06483700;0.00288525;0.00082800;0.07668975;0.88912143;5.5570
OMP+MPI;8;4;0.08272725;0.00586400;0.00071775;0.09992775;0.68235800;2.1324
OMP+MPI;8;8;0.12926500;0.00660750;0.00070075;0.15289300;0.44597529;0.6968
OMP+MPI;16;1;0.06125825;0.00037150;0.00162375;0.06932700;0.98354898;6.1472
OMP+MPI;16;2;0.06416025;0.00135025;0.00124300;0.07477275;0.91191644;2.8497
OMP+MPI;16;4;0.08386350;0.00299650;0.00088425;0.10008400;0.68129271;1.0645
OMP+MPI;16;8;0.13482175;0.00736725;0.00092650;0.15831150;0.43071097;0.3365
